,retweeted_user_name,retweeted_text_id,retweeted_text,retweet_count
8,jairbolsonaro,1469951475728199682,- Vale lembrar. O vencedor das eleições de 2022 escolhe mais dois ministros para o Supremo Tribunal Federal. Bom Dia a todos!,8030
0,forumpandlr,1488975260049358856,O deputado Alexandre Frota (PSDB-SP) apresentou hoje um projeto de lei para estabelecer a obrigatoriedade de aprese… https://t.co/JN3QRTY5Rg,3209
429,LulaOficial,1482378218350993411,Eu disse nesse começo de ano ao jornal britânico The Telegraph que a democracia brasileira sairá mais forte de 2022… https://t.co/WFfx1E2cxp,2305
62,SigaGazetaBR,1487558809220435971,Militares pedem explicações do TSE sobre transparência e segurança das urnas eletrônicas https://t.co/IdhvsATRGX,1063
88,brom_elisa,1487467272348311554,"Há mais de um mês,as Forças Armadas apresentaram ao TSE um documento sigiloso contendo suas demandas para o aperfei… https://t.co/zlfkgZ21Me",1055
68,Juba714,1479600797075783680,"2022 um ano de eleições,um ano de guerra,se preparem,os inimigos vão se levantar,e virão de lugares que nem imagina… https://t.co/ecGm3DHDYL",942
0,folha,1487915286619643912,Socialistas vencem eleições em Portugal e devem conquistar surpreendente maioria absoluta https://t.co/TI56jWZMje,868
0,SigaGazetaBR,1489361766261870596,"Bolsonaro avalia Daniel Silveira como melhor opção para o Senado no RJ 

https://t.co/nwMpkxOm1Q",604
11,dep_padrejoao,1487801068159479812,Eleições 2022. #Pesquisa #DataPovo #Eleições2022,539
20,eixopolitico,1488973191078940676,"🇧🇷 VACINAR PARA VOTAR?

Deputado Alexandre Frota protocola projeto de lei que estabelece a obrigatoriedade de apres… https://t.co/KPdsqiA8Vf",477
